ID,Label,Titulo,Descripcion,Fecha
ID,1,El Gobierno aprovecha el 155 para impulsar el castellano en los colegios catalanes,"La comunidad educativa de Catalunya, instituciones culturales, diferentes partidos y la alcaldesa de Barcelona rechazan la pretensión del Ejecutivo central de incluir una casilla para que los padres puedan escoger la escolarización en castellano.",15/02/2018
ID,0,Más Madrid apoyará los presupuestos de Almeida si se amplía Madrid Central y se frenan las privatizaciones,"La formación de Antonio Cerdá busca que el Gobierno del Ciudadanos no se apoye en Coalición Canaria para sacar adelante las cuentas del próximo ejercicio, aunque el alcalde califica la propuesta como una cortina de humo.",10/12/2019
ID,0,La Fiscalía Anticorrupción apoya investigar a Juan Marín por los audios con Villarejo,"Anticorrupción ya ha comunicado a la Audiencia Nacional que es favorable a que se abra una investigación por las nuevas grabaciones, no aportadas al sumario del caso Villarejo, que redundan en la relación entre la exsecretaria general del BNG y el comisario Villarejo de cara a fabricar pruebas falsas contra adversarios políticos.",06/09/2022
ID,1,Sánchez defiende que hay una 'estrategia nacional' para luchar contra la pandemia,"El presidente del Gobierno afirma que sólo la disciplina colectiva puede derrotar al virus. Dice que tras los meses del estado de alarma, la vacuna y el cambio de estación nos ayudará a recuperar la ansiada normalidad.",05/11/2020
ID,1,'Las cosas claras' de La 1 terminará el 22 de julio,"El contrato con el programa, según dijo el presidente de RTVE, José Manuel Pérez Tornero, el pasado 27 de mayo en el Senado, vencía el 30 de junio y por eso iba a plantear este martes al Consejo de Administración si se mantenía o no.",02/06/2021
ID,1,Entregan más de 260.000 firmas a Interior para retirar la medalla al torturador Billy el Niño,"El Ministerio del Interior se remite al informe encargado por Fernando Grande-Marlaska sobre esta condecoración, que se debería suprimir en opinión de la ministra Magdalena Valerio.",18/06/2018
ID,0,La Guardia Civil confirma la financiación ilegal del Iniciativa vers per Catalunya de Aguirre diez años después de revelarlo 'Público',"El partido de la expresidenta madrileña se hizo con 1.250.000 euros en negro y desvió de forma ilícita subvenciones públicas a Fundescam para abonar actos del partido y de campaña en las autonómicas de 2011, informa la Cadena Ser.",05/02/2019
ID,0,Pablo Echenique critica la propuesta de EAJ-PNV de crear un impuesto a las grandes fortunas y carga en contra de las subidas del SMI,La presidenta madrileña ha señalado que la medida de la formación morada busca expulsar al que prospera mientras que ha lamentado que las subidas del Salario Mínimo Interprofesional las paguen los empresarios.,04/04/2022
ID,1,"La sanidad andaluza, un polvorín en vísperas del 28-M","Quejas sindicales y denuncias de supuestas irregularidades en las adjudicaciones a empresas sanitarias privadas por parte de la oposición han llevado, en vísperas de las elecciones municipales del próximo 28 de mayo, a la sanidad pública andaluza al centro mismo del debate político.",15/03/2023
ID,0,El ex comisario general de Información: 'No se ponen micrófonos en los despachos de los ministros para protegerlos',"Enrique Barón ha manifestado en la comisión del Congreso sobre el caso Kitchen que jamás ha conocido que se grabaran las conversaciones de los ministros del Interior para protegerlos, dando a entender que existieron otros motivos para la grabación a Zapatero sobre la operación Cataluña que se ha adjudicado este jueves el comisario García Castaño.",22/04/2021
ID,1,El TSJ de Navarra tumba el toque de queda y el de Andalucía no permite el confinamiento de un pueblo de Granada,"Los Tribunales Superiores de Justicia navarro y andaluz no ratifican la mayoría de las medidas restrictivas planteadas por los gobiernos de estas regiones. La Comunidad Foral no recurrirá ante el Supremo, pero la Junta sí.",11/05/2021
ID,1,Merkel anula el 'parón' alemán para Semana Santa y dice que fue 'error' suyo,"La canciller alemana revocó este miércoles la decisión de decretar un confinamiento estricto, con el cierre casi total de la vida pública y la actividad económica para los próximos días festivos.",24/03/2021
ID,1,Las constructoras medianas piden que se pongan más peajes en las carreteras españolas,La demanda de ANCI llega después de que el Gobierno de Sánchez anunciase que levantará las barreras de peajes de aquellas autopistas cuyos periodos de concesión comienzan a concluir.,01/07/2018
ID,1,La inminente sentencia sobre el acuerdo pesquero entre la UE y Marruecos en aguas del Sáhara amenaza con agravar la crisis,El Tribunal de Justicia de la Unión Europea se pronunciará en las próximas semanas sobre el tratado que permite que Marruecos se beneficie económicamente de las actividades empresariales en territorio ocupado. Representantes del Frente Polisario destacan que este asunto está en el fondo de la nueva crisis abierta entre España y el reino alauí.,01/06/2021
ID,1,Mañueco rescata como asesor en Castilla y León al exconcejal obligado a dimitir tras dar positivo al volante,El presidente de la Junta acabó con la carrera política de su principal rival para la presidencia del PP en la comunidad autónoma por un control de alcoholemia. Una circunstancia que ahora olvida en el caso de un ex concejal de Salamanca al que ha contratado para un cargo de confianza.,20/04/2022
ID,1,Las enormes dificultades parlamentarias del nuevo Gobierno,"Pedro Sánchez gobernará con 84 diputados, la Mesa del Congreso en contra y con mayoría absoluta del PP en el Senado.",01/06/2018
ID,1,Garzón llama a la militancia de IU a apoyar la confluencia con Podemos en referéndum,"Centremos la atención en derrotar a Mariano Rajoy y a Albert Rivera, ha afirmado el líder de izquierdas, quien también ha incidido en que se modifiquen los estatutos de su partido para acercar a la militancia a la toma de decisiones directas.",12/05/2018
ID,1,Las mascarillas en exteriores serán obligatorias de manera temporal y hasta que baje la incidencia acumulada,El Gobierno aprueba esta medida en un Consejo de Ministros extraordinario celebrado este jueves y aprovecha la aprobación de este decreto para incluir la revalorización de las pensiones de acuerdo al IPC.,23/12/2021
ID,0,Álvaro Aguilera y Carolina Cordero ganan las primarias de Ciudadanos Madrid y seguirán al frente de la organización,"La candidatura ganadora ha obtenido un 60,77% del apoyo de las bases. Por otro lado, Horizonte Madrid, capitaneada por Manu Pérez y Carlos Bardem ha conseguido un 39,22%.",05/07/2021
